
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-02-20 21:03:32 /login ........................................... ~ 1s
  2026-02-20 21:05:55 /login ....................................... ~ 0.18ms
  2026-02-20 21:05:55 /build/assets/app-Dsv_qh1r.css ............... ~ 0.06ms
  2026-02-20 21:05:55 /build/assets/login-n34pPHNf.js .............. ~ 0.09ms
  2026-02-20 21:05:55 /build/assets/input-error-9aeyAKkA.js ........ ~ 0.57ms
  2026-02-20 21:05:55 /build/assets/text-link-DiNYp1UX.js .......... ~ 0.85ms
  2026-02-20 21:05:55 /build/assets/app-BeTAy4aj.js ................ ~ 1.19ms
  2026-02-20 21:05:55 /build/assets/button-CRGKq_P1.js ............. ~ 1.70ms
  2026-02-20 21:05:55 /build/assets/index-nUUjI0ht.js .............. ~ 2.09ms
  2026-02-20 21:05:55 /build/assets/index-DPDM_bKW.js .............. ~ 0.08ms
  2026-02-20 21:05:55 /build/assets/check-CAX6YfJY.js .............. ~ 0.51ms
  2026-02-20 21:05:55 /build/assets/input-DWAw8N6X.js .............. ~ 0.98ms
  2026-02-20 21:05:55 /build/assets/label-cH4Ody0a.js .............. ~ 1.47ms
  2026-02-20 21:05:55 /build/assets/spinner-uNMVEkHi.js ............ ~ 1.98ms
  2026-02-20 21:05:55 /build/assets/auth-layout-DbGrr9c_.js ........ ~ 0.53ms
  2026-02-20 21:05:55 /build/assets/index-CfY88gJw.js .............. ~ 0.76ms
  2026-02-20 21:05:55 /build/assets/index-CEKS8QQG.js .............. ~ 1.23ms
  2026-02-20 21:05:55 /build/assets/index-Bd8FotxL.js .............. ~ 1.25ms
  2026-02-20 21:05:55 /build/assets/loader-circle-BIR36ozh.js ...... ~ 1.70ms
  2026-02-20 21:05:55 /build/assets/sparkles-CiQimJL8.js ........... ~ 1.94ms
  2026-02-20 21:05:55 /build/assets/index-BPQ9Alyc.js .............. ~ 0.05ms
  2026-02-20 21:05:56 /build/assets/app-Dsv_qh1r.css ............... ~ 0.14ms
  2026-02-20 21:05:57 /login ..................................... ~ 500.46ms
  2026-02-20 21:05:57 /dashboard ................................... ~ 0.05ms
  2026-02-20 21:05:57 /build/assets/dashboard-2Qj6ZfNH.js .......... ~ 0.05ms
  2026-02-20 21:05:57 /build/assets/card-aNc0Ipgh.js ............... ~ 0.28ms
  2026-02-20 21:05:57 /build/assets/badge-BPwdVbP7.js .............. ~ 0.77ms
  2026-02-20 21:05:57 /build/assets/app-layout-CyI6rHdT.js ......... ~ 1.24ms
  2026-02-20 21:05:57 /build/assets/app-sidebar-layout-DRusUnvI.js . ~ 1.53ms
  2026-02-20 21:05:57 /build/assets/breadcrumbs-BqcTGIFn.js ........ ~ 1.65ms
  2026-02-20 21:05:57 /build/assets/users-BejhJ3PW.js .............. ~ 2.00ms
  2026-02-20 21:05:57 /build/assets/plus-DO9owk_1.js ............... ~ 0.49ms
  2026-02-20 21:05:57 /build/assets/eye-t_W8msiZ.js ................ ~ 1.25ms
  2026-02-20 21:05:57 /admin/locations/create ...................... ~ 0.14ms
  2026-02-20 21:05:58 /build/assets/app-Dsv_qh1r.css ............... ~ 0.07ms
  2026-02-20 21:05:58 /build/assets/map-view-CLLlcC51.css .......... ~ 0.59ms
  2026-02-20 21:05:58 /build/assets/Create-BWIllpV1.js ............. ~ 0.07ms
  2026-02-20 21:05:58 /build/assets/button-CRGKq_P1.js ............. ~ 0.45ms
  2026-02-20 21:05:58 /build/assets/app-BeTAy4aj.js ................ ~ 0.91ms
  2026-02-20 21:05:58 /build/assets/textarea-D4MmReWJ.js ........... ~ 0.10ms
  2026-02-20 21:05:58 /build/assets/input-DWAw8N6X.js .............. ~ 0.58ms
  2026-02-20 21:05:58 /build/assets/select-DjpOH0xe.js ............. ~ 1.00ms
  2026-02-20 21:05:58 /build/assets/writer-layout-BvtthV5X.js ...... ~ 1.46ms
  2026-02-20 21:05:58 /build/assets/label-cH4Ody0a.js .............. ~ 1.68ms
  2026-02-20 21:05:58 /build/assets/map-view-BS3fhu0l.js ........... ~ 1.74ms
  2026-02-20 21:05:58 /build/assets/image-upload-DWCtaLRh.js ....... ~ 0.51ms
  2026-02-20 21:05:58 /build/assets/card-aNc0Ipgh.js ............... ~ 0.75ms
  2026-02-20 21:05:58 /build/assets/input-error-9aeyAKkA.js ........ ~ 1.33ms
  2026-02-20 21:05:58 /build/assets/breadcrumbs-BqcTGIFn.js ........ ~ 1.20ms
  2026-02-20 21:05:58 /build/assets/plus-DO9owk_1.js ............... ~ 1.45ms
  2026-02-20 21:05:58 /build/assets/index-Bd8FotxL.js .............. ~ 6.97ms
  2026-02-20 21:05:58 /build/assets/index-nUUjI0ht.js .............. ~ 0.08ms
  2026-02-20 21:05:58 /build/assets/index-DPDM_bKW.js .............. ~ 0.59ms
  2026-02-20 21:05:58 /build/assets/index-CfY88gJw.js .............. ~ 1.00ms
  2026-02-20 21:05:58 /build/assets/check-CAX6YfJY.js .............. ~ 1.47ms
  2026-02-20 21:05:58 /build/assets/users-BejhJ3PW.js .............. ~ 1.88ms
  2026-02-20 21:05:58 /build/assets/map-view-CLLlcC51.css .......... ~ 0.06ms
  2026-02-20 21:05:58 /build/assets/app-Dsv_qh1r.css ............... ~ 0.56ms
  2026-02-20 21:05:58 /images/map-aethermoor.png ................... ~ 0.15ms
